Raw Text,State,Count
Alabama (12),Alabama ,12
Alaska (0),Alaska ,0
Arizona (8),Arizona ,8
Arkansas (4),Arkansas ,4
California (140),California ,140
Colorado (9),Colorado ,9
Connecticut (6),Connecticut ,6
Delaware (3),Delaware ,3
Florida (71),Florida ,71
Georgia (39),Georgia ,39
Hawaii (4),Hawaii ,4
Idaho (0),Idaho ,0
Illinois (18),Illinois ,18
Indiana (10),Indiana ,10
Iowa (4),Iowa ,4
Kansas (4),Kansas ,4
Kentucky (6),Kentucky ,6
Louisiana (10),Louisiana ,10
Maine (0),Maine ,0
Maryland (8),Maryland ,8
Massachusetts (8),Massachusetts ,8
Michigan (8),Michigan ,8
Minnesota (3),Minnesota ,3
Mississippi (10),Mississippi ,10
Missouri (10),Missouri ,10
Montana (1),Montana ,1
Nebraska (3),Nebraska ,3
Nevada (8),Nevada ,8
New Hampshire (0),New Hampshire ,0
New Jersey (9),New Jersey ,9
New Mexico (3),New Mexico ,3
New York (24),New York ,24
North Carolina (14),North Carolina ,14
North Dakota (1),North Dakota ,1
Ohio (23),Ohio ,23
Oklahoma (13),Oklahoma ,13
Oregon (7),Oregon ,7
Pennsylvania (13),Pennsylvania ,13
Rhode Island (0),Rhode Island ,0
South Carolina (10),South Carolina ,10
South Dakota (1),South Dakota ,1
Tennessee (19),Tennessee ,19
Texas (57),Texas ,57
Utah (0),Utah ,0
Vermont (0),Vermont ,0
Virginia (12),Virginia ,12
Washington (13),Washington ,13
"Washington, D.C. (1)","Washington, D.C. ",1
West Virginia (0),West Virginia ,0
Wisconsin (4),Wisconsin ,4
Wyoming (1),Wyoming ,1
