State,Player,From,To,Pos,GP,G,A,PTS,#ERROR!,PIM,GP,W,L,T/O,SV%,GAA,Birth City,Birth Date,Death Date
Alabama,Nic Dowd,2016,2021,C,294,32,41,73,0,127,,,,,,,Huntsville,1990-05-27,
Alabama,Jared Ross,2009,2010,C,13,0,0,0,-5,2,,,,,,,Huntsville,1982-09-18,
Alabama,Aud Tuten,1942,1943,D,39,4,8,12,,48,,,,,,,Enterprise,1914-01-14,1994-05-07
Alaska,Casey Bailey,2015,2017,RW,13,1,0,1,0,2,,,,,,,Anchorage,1991-10-27,
Alaska,Matt Carle,2006,2017,D,730,45,238,283,82,251,,,,,,,Anchorage,1984-09-25,
Alaska,Ty Conklin,2002,2012,G,215,0,3,3,0,37,215,96,67,21,0.906,2.69,Anchorage,1976-03-30,
Alaska,Pheonix Copley,2016,2019,G,29,0,1,1,0,0,29,16,8,3,0.901,2.98,North Pole,1992-01-18,
Alaska,Joey Crabb,2009,2014,RW,179,20,33,53,-5,100,,,,,,,Anchorage,1983-04-03,
Alaska,Brandon Dubinsky,2007,2019,C,823,153,285,438,24,905,,,,,,,Anchorage,1986-04-29,
Alaska,Scott Gomez,2000,2016,C,1079,181,575,756,-1,655,,,,,,,Anchorage,1979-12-23,
Alaska,Barrett Heisten,2002,2002,LW,10,0,0,0,-4,2,,,,,,,Anchorage,1980-03-19,
Alaska,Jason Ryznar,2006,2006,LW,8,0,0,0,-1,2,,,,,,,Anchorage,1983-02-19,
Alaska,Brian Swanson,2001,2004,C,70,4,13,17,-9,16,,,,,,,Eagle River,1976-03-24,
Alaska,Jeremy Swayman,2021,2021,G,4,0,0,0,0,0,4,3,1,0,0.926,2.22,Anchorage,1998-11-24,
Alaska,Nate Thompson,2007,2021,C,798,64,97,161,-52,368,,,,,,,Anchorage,1984-10-05,
Alaska,Tim Wallace,2009,2013,RW,101,4,9,13,-13,45,,,,,,,Anchorage,1984-08-06,
Alaska,B.J. Young,2000,2000,RW,1,0,0,0,0,0,,,,,,,Anchorage,1977-07-23,2005-11-30
Arizona,Jim Brown,1983,1983,D,3,0,1,1,-2,5,,,,,,,Phoenix,1960-03-01,
Arizona,Sean Couturier,2012,2021,C,678,169,264,433,91,261,,,,,,,Phoenix,1992-12-07,
Arizona,Tage Thompson,2018,2021,C,131,14,14,28,-34,47,,,,,,,Phoenix,1997-10-30,
Arizona,Brady Tkachuk,2019,2021,LW,186,57,58,115,-44,228,,,,,,,Scottsdale,1999-09-16,
Arizona,Matthew Tkachuk,2017,2021,LW,336,104,160,264,25,343,,,,,,,Scottsdale,1997-12-11,
California,Chris Ahrens,1974,1978,D,52,0,3,3,-26,84,,,,,,,San Bernardino,1952-07-31,
California,Chase Balisy,2018,2018,C,8,0,0,0,-2,0,,,,,,,Fullerton,1992-02-02,
California,Ralph Barahona,1991,1992,C,6,2,2,4,3,0,,,,,,,Long Beach,1965-11-16,
California,Beau Bennett,2013,2018,RW,200,24,40,64,-2,52,,,,,,,Gardena,1991-11-27,
California,John Blue,1993,1996,G,46,0,2,2,0,13,46,16,18,7,0.89,3,Huntington Beach,1966-02-19,
California,Jonathon Blum,2011,2015,D,110,7,17,24,-11,22,,,,,,,Long Beach,1989-01-30,
California,Mitch Callahan,2014,2017,RW,5,0,0,0,0,0,,,,,,,Whittier,1991-08-17,
California,Sasha Chmelevski,2021,2021,C,2,0,1,1,-1,0,,,,,,,Newport Beach,1999-06-09,
California,Noah Clarke,2004,2008,LW,21,3,1,4,-5,4,,,,,,,La Verne,1979-06-11,
California,Craig Coxe,1985,1992,LW,235,14,31,45,-26,713,,,,,,,Chula Vista,1964-01-21,
California,Chase De Leo,2016,2021,C,5,0,0,0,0,0,,,,,,,La Mirada,1995-10-25,
California,Collin Delia,2018,2021,G,20,0,0,0,0,2,20,7,7,3,0.902,3.8,Rancho Cucamonga,1994-06-20,
California,Thatcher Demko,2018,2021,G,62,0,1,1,0,0,62,30,25,4,0.911,2.92,San Diego,1995-12-08,
California,John Emmons,2000,2002,C,85,2,4,6,-11,64,,,,,,,San Jose,1974-08-17,
California,Emerson Etem,2013,2017,RW,173,22,24,46,-7,30,,,,,,,Long Beach,1992-06-16,
California,Craig Ferguson,1994,2000,C,27,1,1,2,-11,6,,,,,,,Castro Valley,1970-04-08,
California,Tim Friday,1986,1986,D,23,0,3,3,-9,6,,,,,,,Burbank,1961-03-05,
California,Gabe Gauthier,2007,2008,LW,8,0,0,0,-1,2,,,,,,,Buena Park,1984-01-20,
California,Rocco Grimaldi,2015,2021,C,192,29,37,66,-3,32,,,,,,,Anaheim,1993-02-08,
California,Shane Harper,2017,2017,RW,14,2,1,3,-1,18,,,,,,,Valencia,1989-02-01,
California,Matt Hervey,1989,1993,D,35,0,5,5,-9,97,,,,,,,Whittier,1968-05-16,
California,Ryan Hollweg,2006,2011,C,228,5,9,14,-34,349,,,,,,,Downey,1983-04-23,
California,Brandon Kozun,2015,2015,RW,20,2,2,4,-3,6,,,,,,,Los Angeles,1990-03-08,
California,Mike Lampman,1973,1977,LW,96,17,20,37,-15,34,,,,,,,Lakewood,1950-04-20,
California,Ray Macias,2009,2011,D,8,0,1,1,-1,2,,,,,,,Long Beach,1986-09-18,
California,Auston Matthews,2017,2021,C,322,190,148,338,54,56,,,,,,,San Ramon,1997-09-17,
California,Ian McCoshen,2017,2019,D,60,4,3,7,-12,33,,,,,,,Anaheim,1995-08-05,
California,Kevan Miller,2014,2021,D,343,12,57,69,79,279,,,,,,,Los Angeles,1987-11-15,
California,Trevor Moore,2019,2021,LW,109,15,21,36,-3,22,,,,,,,Thousand Oaks,1995-03-31,
California,Matthew Nieto,2014,2021,LW,500,67,91,158,-26,86,,,,,,,Long Beach,1992-11-05,
California,Lee Norwood,1981,1994,D,503,58,153,211,23,1099,,,,,,,Oakland,1960-02-02,
California,Brooks Orpik,2003,2019,D,1035,18,176,194,79,972,,,,,,,San Francisco,1980-09-26,
California,Scott Parker,1999,2008,RW,308,7,14,21,4,699,,,,,,,Hanford,1978-01-29,
